product_detail,hyperlink
AMD RYZEN 5 2400G Quad-Core 3.6 GHz (3.9 GHz Max Boost) Socket AM4 65W YD2400C5FBBOX Desktop Processor - Retail,https://www.newegg.com/amd-ryzen-5-2400g/p/N82E16819113480
AMD Athlon 240GE 2-Core   4-Thread   3.5 GHz Base   Socket AM4 35W YD240GC6FBBOX with Radeon Vega 3 Graphics Desktop Processor,https://www.newegg.com/amd-athlon-240ge/p/274-000M-000J9
AMD Athlon 220GE 2-Core   4-Thread   3.4 GHz Base   Socket AM4 35W YD220GC6FBBOX with Radeon Vega 3 Graphics Desktop Processor,https://www.newegg.com/amd-athlon-220ge/p/274-000M-000K0
AMD Athlon 200GE 2-Core   4-Thread   3.2 GHz Base   Socket AM4 35W YD200GC6FBBOX Desktop Processor,https://www.newegg.com/amd-athlon-200ge/p/N82E16819113544
AMD FX-6300 Vishera 6-Core 3.5 GHz Socket AM3+ 95W FD6300WMHKBOX Desktop Processor,https://www.newegg.com/amd-fx-6000-series-fx-6300/p/N82E16819113286
AMD FX-8320E Vishera 8-Core 3.2GHz (4.0GHz Turbo) Socket AM3+ 95W FD832EWMHKBOX Desktop Processor,https://www.newegg.com/amd-fx-8000-series-fx-8320e/p/N82E16819113376
AMD FX-8350 Black Edition Vishera 8-Core 4.0 GHz (4.2 GHz Turbo) Socket AM3+ 125W FD8350FRHKBOX Desktop Processor,https://www.newegg.com/amd-fx-8000-series-fx-8350-black-edition/p/N82E16819113284
AMD FX-6100 Zambezi 6-Core 3.3 GHz Socket AM3+ 95W FD6100WMGUSBX Desktop Processor,https://www.newegg.com/amd-fx-series-fx-6100/p/N82E16819103962
AMD FX-8320 Vishera 8-Core 3.5 GHz (4.0 GHz Turbo) Socket AM3+ 125W FD8320FRHKBOX Desktop Processor,https://www.newegg.com/amd-fx-8000-series-fx-8320/p/N82E16819113285
AMD Phenom II X4 955 Black Edition Deneb Quad-Core 3.2 GHz Socket AM3 125W HDZ955FBGIBOX Processor,https://www.newegg.com/amd-phenom-ii-x4-955-black-edition/p/N82E16819103674
AMD Ryzen 7 2700X AMD50 Gold Edition 3.7 GHz (4.3 GHz Max Boost) Socket AM4 YD270XBGAFA50 Desktop Processor,https://www.newegg.com/amd-ryzen-7-2700x-amd50-gold-edition/p/N82E16819113102
AMD Phenom II X2 550 Black Edition Callisto Dual-Core 3.1 GHz Socket AM3 80W HDZ550WFGIBOX Processor,https://www.newegg.com/amd-phenom-ii-x2-550-black-edition/p/N82E16819103680
AMD A10-9700 Bristol Ridge Quad-Core 3.5 GHz Socket AM4 65W AD9700AGABBOX Desktop Processor Radeon R7,https://www.newegg.com/amd-a10-7th-gen-a10-9700/p/N82E16819113451
AMD A6-9500E Bristol Ridge Dual-Core 3.0 GHz Socket AM4 35W AD9500AHABBOX Desktop Processor Radeon R5,https://www.newegg.com/amd-a6-7th-gen-a6-9500e/p/N82E16819113455
AMD A6-7400K Kaveri Dual-Core 3.5 GHz Socket FM2+ 65W AD740KYBJABOX Desktop Processor AMD Radeon R5,https://www.newegg.com/a6-7th-gen-amd-a6-7400k/p/N82E16819113370
AMD A6-9500 Dual-Core 3.5 GHz Socket AM4 65W AD9500AGABBOX Desktop Processor Radeon R5,https://www.newegg.com/amd-a6-7th-gen-a6-9500/p/N82E16819113454
AMD A8-9600 Bristol Ridge Quad-Core 3.1 GHz Socket AM4 65W AD9600AGABBOX Desktop Processor Radeon R7,https://www.newegg.com/amd-a8-7th-gen-a8-9600/p/N82E16819113453
AMD CPU FX-8350 Black Edition 4.0 GHz (4.2 GHz Turbo) Socket AM3+ FD8350FRHKHBX Desktop Processor with AMD Wraith Cooler,https://www.newegg.com/amd-fx-8000-series-fx-8350-black-edition/p/N82E16819113415
AMD Phenom II X6 1100T Black Edition Thuban 6-Core 3.3GHz   3.7GHz Turbo Socket AM3 125W HDE00ZFBGRBOX Desktop Processor,https://www.newegg.com/amd-phenom-ii-x6-1100t-black-edition/p/N82E16819103913
AMD FX-8300 Vishera 8-Core 3.3 GHz Socket AM3+ 95W FD8300WMW8KHK Processors - Desktops,https://www.newegg.com/amd-fx-series-fx-8300/p/N82E16819113426
AMD A12-9800 Bristol Ridge Quad-Core 3.8 GHz Socket AM4 65W AD9800AUABBOX Desktop Processor AMD Radeon R7,https://www.newegg.com/amd-a12-7th-gen-a12-9800/p/N82E16819113449
AMD Ryzen 5 2400G Raven Ridge Quad-Core 3.6 GHz Socket AM4 65W YD2400C5M4MFB Desktop Processor Radeon RX Vega 11 Graphics,https://www.newegg.com/amd-ryzen-5-2400g/p/N82E16819113513
AMD A10-7850K Kaveri Quad-Core 3.7 GHz Socket FM2+ 95W AD785KXBJABOX Desktop Processor AMD Radeon R7,https://www.newegg.com/amd-a-series-apu-a10-7850k/p/N82E16819113359
AMD Phenom II X6 1055T Thuban 6-Core 2.8 GHz Socket AM3 125W HDT55TFBGRBOX Desktop Processor,https://www.newegg.com/amd-phenom-ii-x6-1055t/p/N82E16819103851
AMD FX-6350 Vishera 6-Core 3.9 GHz (4.2 GHz Turbo) Socket AM3+ 125W FD6350FRHKHBX Desktop Processor,https://www.newegg.com/amd-fx-6000-series-fx-6350/p/N82E16819113416
AMD 8-Core 4.0 GHz Socket AM3+ FD8350FRW8KHK FX-8350 8C AM3+ 125W Tray,https://www.newegg.com/p/N82E16819113106
AMD A6-6400K Richland Dual-Core 3.9 GHz Socket FM2 65W AD640KOKHLBOX Desktop Processor - Black Edition AMD Radeon HD,https://www.newegg.com/amd-a6-series-a6-6400k/p/N82E16819113335
AMD Sempron 2650 Kabini Dual-Core 1.4 GHz Socket AM1 25W SD2650JAHMBOX Desktop Processor AMD Radeon HD 8240,https://www.newegg.com/amd-sempron-2650/p/N82E16819113367
AMD A8-7650K with AMD quiet cooler Quad-Core Socket FM2+ 95W AD765KXBJASBX Desktop Processor AMD Radeon R7,https://www.newegg.com/amd-a8-series-a8-7650k/p/N82E16819113406
AMD Athlon X4 870k with AMD quiet cooler Quad-Core Socket FM2+ 95W AD870KXBJCSBX Desktop Processor,https://www.newegg.com/amd-athlon-x4-870k/p/N82E16819113409
AMD Sempron 3850 Kabini Quad-Core 1.3 GHz Socket AM1 25W SD3850JAHMBOX Desktop Processor AMD Radeon HD 8280,https://www.newegg.com/amd-sempron-3850/p/N82E16819113366
AMD Phenom II X3 720 Triple-Core 2.8 GHz Socket AM3 95W HDZ720WFGIBOX Black Processor,https://www.newegg.com/amd-phenom-ii-x3-720/p/N82E16819103649
AMD Athlon 64 X2 5200 Brisbane Dual-Core 2.7 GHz Socket AM2 65W ADO5200DOBOX Processor,https://www.newegg.com/amd-athlon-64-x2-5200/p/N82E16819103210
AMD K6-2 Chomper 500 MHz Socket 7 K62500AFX-N Processor,https://www.newegg.com/amd-k6-2/p/N82E16819103166
AMD Athlon II X3 435 Rana Triple-Core 2.9 GHz Socket AM3 95W ADX435WFGIBOX Processor,https://www.newegg.com/amd-athlon-ii-x3-435/p/N82E16819103724
AMD Athlon 64 X2 5200+ Windsor Dual-Core 2.6 GHz Socket AM2 ADA5200IAA6CS Processor,https://www.newegg.com/amd-athlon-64-x2-5200/p/N82E16819103758
AMD Athlon II X2 220 Regor Dual-Core 2.8 GHz Socket AM3 65W ADX220OCK22GM Desktop Processor,https://www.newegg.com/amd-athlon-ii-x2-220/p/N82E16819103884
Intel Pentium 4 3.0E Prescott Single-Core 3.0 GHz Socket 478 89W BX80546PG3000E Processor,https://www.newegg.com/intel-pentium-4-3-0e/p/N82E16819116171
Intel Pentium 4 2.4A Prescott Single-Core 2.4 GHz Socket 478 BX80546PE2400E Processor,https://www.newegg.com/intel-pentium-4-2-4a/p/N82E16819116178
Intel Pentium 4 2.8 Northwood Single-Core 2.8 GHz Socket 478 68.4W RK80532PE072512 Processor,https://www.newegg.com/intel-pentium-4-2-8/p/N82E16819116215
AMD A8-7600 Kaveri Quad-Core 3.1 GHz Socket FM2+ 65W AD7600YBJABOX Desktop Processor AMD Radeon R7,https://www.newegg.com/amd-a8-series-a8-7600/p/N82E16819113371
AMD Athlon II X3 450 Rana Triple-Core 3.2 GHz Socket AM3 95W ADX450WFGMBOX Desktop Processor,https://www.newegg.com/amd-athlon-ii-x3-450/p/N82E16819103886
AMD Phenom 9950 X4 Black Edition Agena Quad-Core 2.6 GHz Socket AM2+ 140W HD995ZFAGHBOX Processor,https://www.newegg.com/amd-phenom-x4-phenom-9950-x4-black-edition/p/N82E16819103273
AMD A6-3500 Llano Triple-Core 2.1GHz (2.4GHz Max Turbo) Socket FM1 65W AD3500OJGXBOX Desktop APU (CPU + GPU) with DirectX 11 Graphic AMD Radeon HD 6530D,https://www.newegg.com/amd-a-series-apu-a6-3500/p/N82E16819103951
Intel Celeron D 330 Prescott Single-Core 2.66 GHz Socket 478 RK80546RE067256 Processor,https://www.newegg.com/intel-celeron-d-330/p/N82E16819112223
Intel Celeron D 330 Prescott Single-Core 2.66 GHz Socket 478 BX80546RE2667C Processor,https://www.newegg.com/intel-celeron-d-330/p/N82E16819112187
AMD Athlon 200GE 2-Core   4-Thread   3.2 GHz Base   Socket AM4 35W YD200GC6FBBOX Desktop Processor,https://www.newegg.com/amd-athlon-200ge/p/N82E16819113544
AMD A8-7650K with AMD quiet cooler Quad-Core Socket FM2+ 95W AD765KXBJASBX Desktop Processor AMD Radeon R7,https://www.newegg.com/amd-a8-series-a8-7650k/p/N82E16819113406
Intel Xeon EM64T 3.6 Nocona Single-Core 3.6 GHz Socket 604 BX80546KG3600EU 1U Processor,https://www.newegg.com/intel-xeon-em64t-3-6/p/N82E16819117037
Intel Xeon 2.8 Prestonia 2.8 GHz Socket 604 BX80532KE2800D Processor,https://www.newegg.com/intel-xeon-2-8/p/N82E16819117016
AMD Athlon 64 X2 4200+ Manchester Dual-Core 2.2 GHz Socket 939 89W ADA4200DAA5BV Processor,https://www.newegg.com/amd-athlon-64-x2-4200/p/N82E16819103543
AMD Athlon 64 X2 4400+ Brisbane Dual-Core 2.3 GHz Socket AM2 65W ADO4400IAA5DO Processor,https://www.newegg.com/amd-athlon-64-x2-4400/p/N82E16819103221
AMD Phenom II X2 545 Callisto Dual-Core 3.0 GHz Socket AM3 80W HDX545WFGIBOX Processor,https://www.newegg.com/amd-phenom-ii-x2-545/p/N82E16819103694
AMD A4-3300 Llano Dual-Core 2.5 GHz Socket FM1 65W AD3300OJHXBOX Desktop APU (CPU + GPU) with DirectX 11 Graphic AMD Radeon HD 6410D,https://www.newegg.com/amd-a-series-apu-a4-3300/p/N82E16819106013
Intel Xeon EM64T 3.4 Irwindale Single-Core 3.4 GHz Socket 604 BX80546KG3400FU 1U Processor,https://www.newegg.com/intel-xeon-em64t-3-4/p/N82E16819117045
Intel Xeon 3.06 Prestonia 3.06 GHz Socket 604 BX80532KE3066D Processor,https://www.newegg.com/intel-xeon-3-06/p/N82E16819117019
Intel Celeron 2.4 Northwood Single-Core 2.4 GHz Socket 478 RK80532RC056128 Processor,https://www.newegg.com/intel-celeron-2-4/p/N82E16819112185
Intel Xeon EM64T 3.4 Irwindale Single-Core 3.4 GHz Socket 604 BX80546KG3400FA Active or 1U Processor,https://www.newegg.com/intel-xeon-em64t-3-4/p/N82E16819117032
Intel Pentium 4 3.4 Prescott 3.4 GHz Socket 478 RK80546PG0961M Processor,https://www.newegg.com/intel-pentium-4-3-4/p/N82E16819116177
Intel Xeon EM64T 3.8 Irwindale Single-Core 3.8 GHz Socket 604 BX80546KG3800FA Active  Processor,https://www.newegg.com/intel-xeon-em64t-3-8/p/N82E16819117060
AMD Sempron 64 3000+ Palermo Single-Core 1.8 GHz Socket 754 62W SDA3000AIO2BX Processor,https://www.newegg.com/amd-sempron-64-3000/p/N82E16819104240
Intel Core 2 Duo T5500 Merom Dual-Core 1.66 GHz Socket M 34W BX80537T5500 Processor,https://www.newegg.com/intel-core-2-duo-t5500/p/N82E16819111304
Intel Celeron D 320 Prescott Single-Core 2.4 GHz Socket 478 BX80546RE2400C Processor,https://www.newegg.com/intel-celeron-d-320/p/N82E16819112190
AMD Ryzen 5 3600 Matisse 6-Core 3.6 GHz Socket AM4 65W 100-100000031BOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-3600-ryzen-5-3rd-gen/p/N82E16819113623
Intel Pentium 4 3.2E Prescott Single-Core 3.2 GHz Socket 478 BX80546PG3200E Processor,https://www.newegg.com/intel-pentium-4-3-2e/p/N82E16819116172
Intel Pentium 4 2.8E Prescott 2.8 GHz Socket 478 RK80546PG0721M Processor,https://www.newegg.com/intel-pentium-4-2-8e/p/N82E16819116174
Intel Xeon EM64T 2.8 Irwindale Single-Core 2.8 GHz Socket 604 BX80546KG2800FA Active or 1U Processor,https://www.newegg.com/intel-xeon-em64t-2-8/p/N82E16819117052
Intel Core 2 Duo T7400 Merom Dual-Core 2.16 GHz Socket M LF80537GF0484M Processor,https://www.newegg.com/intel-core-2-duo-t7400/p/N82E16819111309
Intel Pentium 4 2.8A Prescott 533 MHz FSB Socket 478 Processor BX80546PE2800E,https://www.newegg.com/intel-pentium-4-2-8a/p/N82E16819116180
Intel Pentium 4 2.8C Northwood Single-Core 2.8 GHz Socket 478 RK80532PG072512 Processor,https://www.newegg.com/intel-pentium-4-2-8c/p/N82E16819116162
Intel Xeon 2.66 Prestonia 2.66 GHz Socket 604 BX80532KE2667D Processor,https://www.newegg.com/intel-xeon-2-66/p/N82E16819117017
Intel Core Duo T2500 Yonah Dual-Core 2.0 GHz Socket M 31W BX80539T2500 Processor,https://www.newegg.com/intel-core-duo-t2500/p/N82E16819111178
Intel Pentium 4 530 Prescott Single-Core 3.0 GHz Socket 478 84W NE80546PG0801M Desktop Processor,https://www.newegg.com/intel-pentium-4-530/p/N82E16819116027
Intel Core2 Duo T7500 Merom Dual-Core 2.2 GHz Socket P LF80537GG0494M Processor,https://www.newegg.com/intel-core-2-duo-core2-duo-t7500/p/N82E16819111323
Intel Core2 Duo T7300 Merom Dual-Core 2.0 GHz Socket P LF80537GG0414M Processor,https://www.newegg.com/intel-core-2-duo-core2-duo-t7300/p/N82E16819111324
Intel Celeron 2.5 Northwood Single-Core 2.5 GHz Socket 478 61W RK80532RC060128 Processor,https://www.newegg.com/intel-celeron-2-5/p/N82E16819116035
Intel Pentium M 740 Dothan Single-Core 1.73 GHz Socket M BX80536GE1733FJ Processor,https://www.newegg.com/intel-pentium-m-740/p/N82E16819111170
Intel Xeon EM64T 3.2 Irwindale Single-Core 3.2 GHz Socket 604 110W BX80546KG3200FA Active or 1U Processor,https://www.newegg.com/intel-xeon-em64t-3-2/p/N82E16819117033
AMD FX-8300 Vishera 8-Core 3.3 GHz Socket AM3+ 95W FD8300WMW8KHK Processors - Desktops,https://www.newegg.com/amd-fx-series-fx-8300/p/N82E16819113426
AMD Athlon X4 845 with AMD quiet cooler Quad-Core Socket FM2+ 65W AD845XACKASBX Desktop Processor,https://www.newegg.com/amd-athlon-x4-845/p/N82E16819113411
AMD FX-8320 Vishera 8-Core 3.5 GHz (4.0 GHz Turbo) Socket AM3+ 125W FD8320FRHKBOX Desktop Processor,https://www.newegg.com/amd-fx-8000-series-fx-8320/p/N82E16819113285
AMD Phenom 9500 Agena Quad-Core 2.2 GHz Socket AM2+ 95W HD9500WCGDBOX Processor,https://www.newegg.com/amd-phenom-x4-phenom-9500/p/N82E16819103226
AMD Phenom II X4 810 Deneb Quad-Core 2.6 GHz Socket AM3 95W HDX810WFGIBOX Processor,https://www.newegg.com/amd-phenom-ii-x4-810/p/N82E16819103650
AMD Athlon 64 FX-53 SledgeHammer 2.4 GHz Socket 940 ADAFX53CEP5AT Processor,https://www.newegg.com/amd-athlon-64-fx-53/p/N82E16819103437
AMD Phenom 9750 Quad-Core 2.4 GHz Socket AM2+ 125W HD9750XAGHBOX Processor,https://www.newegg.com/amd-phenom-x4-phenom-9750/p/N82E16819103250
NEVER USED AMD OEM TRAY FX-6300 Vishera 6-Core 3.5 GHz (4.1 GHz Turbo) Socket AM3+ 95W  Desktop Processor,https://www.newegg.com/p/N82E16819113397
Intel Celeron D 330 Prescott Single-Core 2.66 GHz Socket 478 SL7C6 Desktop Processor,https://www.newegg.com/intel-celeron-d-330/p/N82E16819116815
AMD Athlon 64 X2 5000+ Dual-Core 2.6 GHz Socket AM2 65W 465301-001 Desktop Processor,https://www.newegg.com/amd-athlon-64-x2-5000/p/N82E16819181299
AMD Athlon 64 X2 4200+ Windsor Dual-Core 2.2 GHz Socket AM2 65W ADO4200IAA5CU Processor,https://www.newegg.com/amd-athlon-64-x2-4200/p/N82E16819103971
Intel Celeron 2.7 GHz Northwood Single-Core 2.7 GHz Socket 478 66.8W SL77S Desktop Processor,https://www.newegg.com/intel-celeron-d-celeron-2-7-ghz/p/N82E16819116764
Intel Celeron D 330 Prescott Single-Core 2.66 GHz Socket 478 73W SL7NV Desktop Processor,https://www.newegg.com/intel-celeron-d-330/p/N82E16819116762
Intel Pentium 4 2.8 Single-Core 2.8 GHz Socket 478 P42800B478 Desktop Processor,https://www.newegg.com/intel-pentium-4-2-8/p/N82E16819116500
Intel Celeron Single-Core 2.0 GHz Socket 478 SL6VR Desktop Processor,https://www.newegg.com/intel-celeron/p/N82E16819116814
AMD Phenom II X4 840 Quad-Core 3.2 GHz Socket AM3 95W HDX840WFGMBOX Desktop Processor,https://www.newegg.com/amd-phenom-ii-x4-840/p/N82E16819103921
AMD Ryzen 3 2200G 3.5 GHz Socket AM4 YD2200C5M4MFB Desktop Processor,https://www.newegg.com/amd-ryzen-3-2200g/p/N82E16819113517
AMD Phenom II X4 920 Quad-Core 2.8 GHz Socket AM2+ 125W HDX920XCGIBOX Processor,https://www.newegg.com/amd-phenom-ii-x4-920/p/N82E16819103472
AMD FX-4300 Vishera Quad-Core 3.8 GHz Socket AM3+ 95W FD4300WMHKBOX Desktop Processor,https://www.newegg.com/amd-fx-4000-series-fx-4300/p/N82E16819113287
AMD FX-8370 with AMD Wraith Cooler Vishera 8-Core 4.0 GHz (4.3 GHz Turbo) Socket AM3+ 125W FD8370FRHKHBX Desktop Processor,https://www.newegg.com/amd-fx-8000-series-fx-8370/p/N82E16819113398
AMD FX-8300 Vishera 8-Core 3.3 GHz Socket AM3+ 95W FD8300WMHKBOX Desktop Processor,https://www.newegg.com/amd-fx-8000-series-fx-8300/p/N82E16819113399
AMD Ryzen 5 2600 Pinnacle Ridge 6-Core 3.4 GHz Socket AM4 65W YD2600BBM6IAF Desktop Processor,https://www.newegg.com/amd-ryzen-5-2600/p/N82E16819113414
AMD Phenom II X4 965 Black Edition Deneb Quad-Core 3.4 GHz Socket AM3 125W HDZ965FBGMBOX Processor,https://www.newegg.com/amd-phenom-ii-x4-965-black-edition/p/N82E16819103727
AMD A4-6300 Richland Dual-Core 3.7GHz (3.9GHz Turbo) Socket FM2 65W Desktop Processor AMD Radeon HD 8370D AD6300OKA23HL Like New,https://www.newegg.com/amd-a-series-apu-a4-6300/p/N82E16819113107
