,price,product_detail,hyperlink
23,209.99,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M 6GB 192-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10620a-10m/p/N82E16814500454
24,779.99,EVGA GeForce RTX 2080 SUPER FTW3 ULTRA GAMING Video Card   08G-P4-3287-KR   8GB GDDR6   iCX2 Technology   RGB LED   Metal Backplate,https://www.newegg.com/evga-geforce-rtx-2080-super-08g-p4-3287-kr/p/N82E16814487466
25,559.99,EVGA GeForce RTX 2070 SUPER FTW3 ULTRA GAMING   08G-P4-3277-KR   8GB GDDR6   iCX2 Technology   RGB LED   Metal Backplate,https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3277-kr/p/N82E16814487452
26,299.99,EVGA GeForce GTX 1660 Ti SC ULTRA GAMING   06G-P4-1667-KR   6GB GDDR6   Dual Fan   Metal Backplate,https://www.newegg.com/evga-geforce-gtx-1660-ti-06g-p4-1667-kr/p/N82E16814487446
27,389.99,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-z-6g/p/N82E16814137379
28,1249.99,MSI GeForce RTX 2080 TI GAMING X TRIO Video Card,https://www.newegg.com/msi-geforce-rtx-2080-ti-rtx-2080-ti-gaming-x-trio/p/N82E16814137338
29,729.99,EVGA GeForce RTX 2080 SUPER XC GAMING Video Card   08G-P4-3182-KR   8GB GDDR6   RGB LED   Metal Backplate,https://www.newegg.com/evga-geforce-rtx-2080-super-08g-p4-3182-kr/p/N82E16814487464
30,304.99,ASUS ROG Strix GeForce GTX 1660 Ti ROG-STRIX-GTX1660TI-A6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,https://www.newegg.com/asus-geforce-gtx-1660-ti-rog-strix-gtx1660ti-a6g-gaming/p/N82E16814126295
31,719.99,GIGABYTE GeForce RTX 2080 Super GAMING OC 8G (Rev 2.0) Graphics Card   3 x WINDFORCE Fans   8GB 256-Bit GDDR6   GV-N208SGAMING OC-8GC Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208sgaming-oc-8gc/p/N82E16814932218
32,346.99,EVGA GeForce RTX 2060 SC GAMING   06G-P4-2062-KR   6GB GDDR6   HDB Fan,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2062-kr/p/N82E16814487434
33,619.99,EVGA GeForce RTX 2070 SUPER FTW3 ULTRA+ Video Card   OVERCLOCKED   2.75 Slot Extreme Cool Triple + iCX2   65C Gaming   RGB   Metal Backplate   08G-P4-3377-KR   8GB 15.5 GHz GDDR6,https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3377-kr/p/N82E16814487476
34,279.99,ZOTAC GAMING GeForce GTX 1660 Ti 6GB GDDR6 192-bit Gaming Graphics Card   Super Compact   ZT-T16610F-10L,https://www.newegg.com/zotac-geforce-gtx-1660-ti-zt-t16610f-10l/p/N82E16814500462
35,229.99,EVGA GeForce GTX 1660 XC Black GAMING   06G-P4-1161-KR   6GB GDDR5   HDB Fan,https://www.newegg.com/evga-geforce-gtx-1660-06g-p4-1161-kr/p/N82E16814487437
36,189.99,ASUS GeForce GTX 1050 Ti GTX1050TI-O4G-LP-BRK 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Low Profile Video Card,https://www.newegg.com/asus-geforce-gtx-1050-ti-gtx1050ti-o4g-lp-brk/p/N82E16814126250
37,319.99,EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card   06G-P4-2068-KR   6GB GDDR6   Dual Fans   Metal Backplate,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2068-kr/p/N82E16814487486
38,299.99,EVGA GeForce RTX 2060 KO GAMING Video Card   06G-P4-2066-KR   6GB GDDR6   Dual Fans   Metal Backplate,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2066-kr/p/N82E16814487488
