Brand,Processors Type,Series,Name,Model,CPU Socket Type,Core Name,# of Cores,# of Threads,Operating Frequency,Max Turbo Frequency,L1 Cache,L2 Cache,L3 Cache,Manufacturing Tech,64-Bit Support,Memory Types,Memory Channel,Virtualization Technology Support,PCI Express Revision,Max Number of PCI Express Lanes,Thermal Design Power,Cooling Device,Date First Available,Hyper-Threading Support,Integrated Graphics,Graphics Base Frequency,Options,Cooling Devices,Hyper-Transport Support,Hyper Transports,Voltage,Integrated Memory Controller Speed,Multimedia Instruction,FSB,
AMD,Desktop,Ryzen Threadripper 1st Gen,Ryzen Threadripper 1900X,YD190XA8AEWOF,Socket sTR4,Summit Ridge,8-Core,16,3.8 GHz,4.0 GHz,768KB,4MB,16MB,14nm,Yes,DDR4 2667,4,Yes,3.0,None,180W,Cooling device not included - Processor Only,August 30  2017,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 7 1st Gen,Ryzen 7 1700,YD1700BBAEBOX,Socket AM4,Summit Ridge,8-Core,16,3.0 GHz,3.7 GHz,768KB,4MB,16MB,14nm,None,DDR4 2667,2,Yes,3.0,None,65W,Heatsink and fan included,February 22  2017,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 1st Gen,Ryzen Threadripper 1920X,YD192XA8AEWOF,Socket sTR4,Summit Ridge,12-Core,24,3.5 GHz base and 4.0 GHz precision boost clocks,4.0 GHz precision boost clocks,1.125MB,6MB,32MB,14nm,None,DDR4,4,Yes,3.0,64,180W,Cooling device not included - Processor Only,October 10  2018,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 2nd Gen,Ryzen Threadripper 2990WX,YD299XAZAFWOF,Socket sTR4,None,32-Core,64,3.0 GHz base and 4.2 GHz max boost clocks,4.2 GHz Max boost clocks,3MB,16MB,64MB,12nm,Yes,DDR4 2933,4,None,3.0,None,250W,Cooling device not included - Processor Only,August 05  2018,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 1st Gen,Ryzen 5 1600,YD1600BBAEBOX,Socket AM4,Summit Ridge,6-Core,12,3.2 GHz,3.6 GHz,576KB,3MB,16MB,14nm,None,DDR4 2667,2,Yes,3.0,16,65W,Heatsink and fan included,April 10  2017,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 2nd Gen,Ryzen Threadripper 2920X,YD292XA8AFWOF,Socket sTR4,None,12-Core,24,3.5 GHz,4.3 GHz,1.125MB,6MB,32MB,12nm,Yes,DDR4 2933,4,None,3.0,None,180W,Cooling device not included - Processor Only,March 27  2019,Yes,None,None,Ryzen Threadripper 2920X,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 2nd Gen,Ryzen Threadripper 2970WX,YD297XAZAFWOF,Socket sTR4,None,24-Core,48,3.0 GHz,4.2 GHz,2.25MB,12MB,64MB,12nm,Yes,DDR4 2933,4,None,3.0,None,250W,Cooling device not included - Processor Only,October 26  2018,Yes,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 3 3rd Gen,Ryzen 3 3200G,YD3200C5FHBOX,Socket AM4,None,Quad-Core,4,3.6 GHz,4.0 GHz,384KB,2MB,4MB,12nm,None,DDR4 2933,2,None,3.0,8,65W,Heatsink and fan included,July 31  2019,None,Radeon Vega 8 Graphics,1250 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 3 2nd Gen,Ryzen 3 2200G,YD2200C5FBBOX,Socket AM4,Raven Ridge,Quad-Core,4,3.5 GHz,3.7 GHz,384KB,2MB,4MB,14nm,Yes,DDR4 2933,2,None,3.0,None,65W,Heatsink and fan included,June 08  2019,None,Radeon Vega 8 Graphics,1100 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 7 1st Gen,Ryzen 7 1700X,YD170XBCAEWOF,Socket AM4,Summit Ridge,8-Core,16,3.4 GHz,3.8 GHz,768KB,4MB,16MB,14nm,None,DDR4 2667,2,Yes,3.0,None,95W,Cooling device not included - Processor Only,October 19  2018,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 3 1st Gen,Ryzen 3 1300X,YD130XBBAEBOX,Socket AM4,Summit Ridge,Quad-Core,4,3.5 GHz,3.7 GHz,384KB,2MB,8MB,14nm,None,DDR4,2,None,3.0,None,65W,Heatsink and fan included,August 22  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 7 1st Gen,Ryzen 7 1800X,YD180XBCAEWOF,Socket AM4,Summit Ridge,8-Core,16,3.6 GHz,4.0 GHz,768KB,4MB,16MB,14nm,None,DDR4,2,Yes,3.0,None,95W,Cooling device not included - Processor Only,August 16  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 1st Gen,Ryzen 5 1600X,YD160XBCAEWOF,Socket AM4,Summit Ridge,6-Core,12,3.6 GHz,4.0 GHz,576KB,3MB,16MB,14nm,Yes,DDR4 2667,2,Yes,3.0,None,95W,Cooling device not included - Processor Only,July 21  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 1st Gen,Ryzen 5 1400,YD1400BBAEBOX,Socket AM4,Summit Ridge,Quad-Core,8,3.2 GHz,3.4 GHz,384KB,2MB,8MB,14nm,Yes,DDR4 2667,2,Yes,3.0,None,65W,Heatsink and fan included,July 21  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 1st Gen,Ryzen 5 1500X,YD150XBBAEBOX,Socket AM4,Summit Ridge,Quad-Core,8,3.5 GHz,3.7 GHz,384KB,2MB,16MB,14nm,Yes,DDR4 2667,2,Yes,None,None,65W,Heatsink and fan included,April 27  2017,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 2nd Gen,Ryzen 5 2400G,YD2400C5FBBOX,Socket AM4,Raven Ridge,Quad-Core,8,3.6 GHz,3.9 GHz,384KB,2MB,4MB,14nm,Yes,DDR4 2933,2,None,3.0,None,65W,Heatsink and fan included,November 29  2018,None,Radeon RX Vega 11 Graphics,1250 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,Athlon,Athlon 240GE,YD240GC6FBBOX,Socket AM4,None,Dual-Core,4,3.5 GHz,None,192KB,1MB,4MB,14nm,Yes,None,2,None,3.0,None,35W,Heatsink and fan included,January 02  2020,Yes,Radeon Vega 3 Graphics,1 GHz,None,None,None,None,None,None,None,None
AMD,Desktop,Athlon,Athlon 220GE,YD220GC6FBBOX,Socket AM4,None,Dual-Core,4,3.4 GHz,None,192KB,1MB,4MB,14nm,Yes,None,2,Yes,3.0,None,35W,Heatsink and fan included,November 05  2019,Yes,Radeon Vega 3 Graphics,1 GHz,None,None,None,None,None,None,None,None
AMD,Desktop,Athlon,Athlon 200GE,YD200GC6FBBOX,Socket AM4,None,Dual-Core,4,3.2 GHz,None,192KB,1MB,4MB,14nm,None,DDR4 2667,2,None,3.0,None,35W,Heatsink and fan included,January 11  2019,Yes,Radeon Vega 3 Graphics,1 GHz,None,None,None,None,None,None,None,None
